emotion,original_text,text_tokens,preprocessed_text
happiness,"During the period of falling in love, each time that we met and especially when we had not met for a long time.","['period', 'falling', 'love', 'time', 'met', 'especially', 'met', 'long', 'time']",period falling love time met especially met long time
fear,When I was involved in a traffic accident.,"['involved', 'traffic', 'accident']",involved traffic accident
anger,"When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.","['driving', 'home', 'several', 'day', 'hard', 'work', 'motorist', 'ahead', 'driving', 'kmhour', 'refused', 'despite', 'low', 'speeed', 'let', 'overtake']",driving home several day hard work motorist ahead driving kmhour refused despite low speeed let overtake
sadness,When I lost the person who meant the most to me. ,"['lost', 'person', 'meant']",lost person meant
disgust,"The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.","['time', 'knocked', 'deer', 'sight', 'animal', 'injury', 'helplessness', 'realization', 'animal', 'badly', 'hurt', 'put', 'animal', 'screamed', 'moment', 'death']",time knocked deer sight animal injury helplessness realization animal badly hurt put animal screamed moment death
shame,When I did not speak the truth.,"['speak', 'truth']",speak truth
guilt,When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.,"['caused', 'problem', 'somebody', 'could', 'keep', 'appointed', 'time', 'led', 'various', 'consequence']",caused problem somebody could keep appointed time led various consequence
happiness,When I got a letter offering me the Summer job that I had applied for.  ,"['got', 'letter', 'offering', 'summer', 'job', 'applied']",got letter offering summer job applied
fear,When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.,"['going', 'home', 'alone', 'one', 'night', 'paris', 'man', 'came', 'behind', 'asked', 'afraid', 'alone', 'late', 'night']",going home alone one night paris man came behind asked afraid alone late night
anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,"['talking', 'party', 'first', 'time', 'long', 'friend', 'came', 'interrupted', 'left']",talking party first time long friend came interrupted left
sadness,When my friends did not ask me to go to a New Year's party with them.,"['friend', 'ask', 'new', 'year', 'party']",friend ask new year party
disgust,When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.,"['saw', 'drunk', 'kid', '1314', 'year', 'old', 'town', 'walpurgis', 'night']",saw drunk kid 1314 year old town walpurgis night
shame,When I could not remember what to say about a presentation task at an accounts meeting.,"['could', 'remember', 'say', 'presentation', 'task', 'account', 'meeting']",could remember say presentation task account meeting
guilt,When my uncle and my neighbour came home under police escort.,"['uncle', 'neighbour', 'came', 'home', 'police', 'escort']",uncle neighbour came home police escort
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death.","['every', 'time', 'imagine', 'someone', 'love', 'could', 'contact', 'serious', 'illness', 'even', 'death']",every time imagine someone love could contact serious illness even death
anger,When I had been obviously unjustly treated and had no possibility of elucidating this.,"['obviously', 'unjustly', 'treated', 'possibility', 'elucidating']",obviously unjustly treated possibility elucidating
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.,"['think', 'short', 'time', 'live', 'relate', 'period', 'life', 'think', 'use', 'short', 'time']",think short time live relate period life think use short time
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.,"['gathering', 'found', 'involuntarily', 'sitting', 'next', 'two', 'people', 'expressed', 'opinion', 'considered', 'low', 'discriminating']",gathering found involuntarily sitting next two people expressed opinion considered low discriminating
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.,"['realized', 'directing', 'feeling', 'discontent', 'partner', 'way', 'trying', 'put', 'blame', 'instead', 'sorting', 'feeliings']",realized directing feeling discontent partner way trying put blame instead sorting feeliings
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.,"['feel', 'guilty', 'realize', 'consider', 'material', 'thing', 'important', 'caring', 'relative', 'feel', 'selfcentered']",feel guilty realize consider material thing important caring relative feel selfcentered
happiness,After my girlfriend had taken her exam we went to her parent's place.,"['girlfriend', 'taken', 'exam', 'went', 'parent', 'place']",girlfriend taken exam went parent place
fear,"When, for the first time I realized the meaning of death.","['first', 'time', 'realized', 'meaning', 'death']",first time realized meaning death
anger,When a car is overtaking another and I am forced to drive off the road.,"['car', 'overtaking', 'another', 'forced', 'drive', 'road']",car overtaking another forced drive road
sadness,"When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand.","['recently', 'thought', 'hard', 'work', 'take', 'study', 'one', 'want', 'try', 'something', 'else', 'read', 'theoretical', 'book', 'english', 'understand']",recently thought hard work take study one want try something else read theoretical book english understand
disgust,When I found a bristle in the liver paste tube.,"['found', 'bristle', 'liver', 'paste', 'tube']",found bristle liver paste tube
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.","['tired', 'unmotivated', 'shouted', 'girlfriend', 'brought', 'negative', 'side', 'character', 'actually', 'important']",tired unmotivated shouted girlfriend brought negative side character actually important
guilt,When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.,"['think', 'study', 'enough', 'weekend', 'think', 'able', 'accomplished', 'something', 'time']",think study enough weekend think able accomplished something time
happiness,When I pass an examination which I did not think I did well.,"['pas', 'examination', 'think', 'well']",pas examination think well
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.","['one', 'arranged', 'meet', 'someone', 'person', 'arrives', 'late', 'meantime', 'one', 'start', 'thinking', 'could', 'gone', 'wrong', 'traffic', 'accident']",one arranged meet someone person arrives late meantime one start thinking could gone wrong traffic accident
anger,When one is unjustly accused of something one has not done.,"['one', 'unjustly', 'accused', 'something', 'one', 'done']",one unjustly accused something one done
sadness,When one's studies seem hopelessly difficult and uninteresting.  ,"['one', 'study', 'seem', 'hopelessly', 'difficult', 'uninteresting']",one study seem hopelessly difficult uninteresting
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.","['one', 'find', 'someone', 'know', 'like', 'one', 'thought', 'instance', 'friend', 'steal', 'thing', 'like', 'quite', 'unwarranted']",one find someone know like one thought instance friend steal thing like quite unwarranted
shame,"When one has been unjust, stupid towards someone else. ","['one', 'unjust', 'stupid', 'towards', 'someone', 'else']",one unjust stupid towards someone else
guilt,When one has neglected or been unjust to a good friend.,"['one', 'neglected', 'unjust', 'good', 'friend']",one neglected unjust good friend
happiness,Passing an exam I did not expect to pass.,"['passing', 'exam', 'expect', 'pas']",passing exam expect pas
fear,When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.,"['climbed', 'tree', 'pick', 'apple', 'angle', 'ladder', 'enable', 'get', 'high', 'enough', 'implied', 'ladder', 'stable']",climbed tree pick apple angle ladder enable get high enough implied ladder stable
anger,Friends who torture animals.,"['friend', 'torture', 'animal']",friend torture animal
happiness,When I had my children.,['child'],child
fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,"['year', 'old', 'son', 'climbed', 'sat', '7th', 'floor', 'balcony', 'leg', 'hanging', 'holding', 'tightly', 'upper', 'railing', 'balcony', 'could', 'easily', 'lost', 'balance', 'sat']",year old son climbed sat 7th floor balcony leg hanging holding tightly upper railing balcony could easily lost balance sat
anger,When my partner was attacked and lost three teeth.,"['partner', 'attacked', 'lost', 'three', 'teeth']",partner attacked lost three teeth
sadness,When I see children on T.V from areas devastated by drought and war.,"['see', 'child', 'area', 'devastated', 'drought', 'war']",see child area devastated drought war
disgust,When I nearly walked on a blindworm and then saw it crawl away.,"['nearly', 'walked', 'blindworm', 'saw', 'crawl', 'away']",nearly walked blindworm saw crawl away
shame,When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.,"['saw', 'year', 'old', 'son', 'grab', 'oxygen', 'mask', 'breathing', 'difficulty', 'bad', 'conscience', 'stopped', 'smoking', 'medication', 'dilation', 'breathing', 'tube', 'also', 'caused', 'sense', 'guilt']",saw year old son grab oxygen mask breathing difficulty bad conscience stopped smoking medication dilation breathing tube also caused sense guilt
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing.","['experience', 'sense', 'guilt', 'middle', 'son', 'express', 'like', 'child', 'neither', 'verbally', 'writing']",experience sense guilt middle son express like child neither verbally writing
happiness,When my child was born.,"['child', 'born']",child born
fear,"It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head.","['winterspring', 'ice', 'melting', 'far', 'jetty', 'poked', 'ice', 'long', 'branch', 'try', 'break', 'branch', 'went', 'ice', 'fell', 'water', 'closed', 'head']",winterspring ice melting far jetty poked ice long branch try break branch went ice fell water closed head
anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ","['unjust', 'accusation', 'directed', 'way', 'acting', 'someone', 'close']",unjust accusation directed way acting someone close
sadness,Failing an examination.,"['failing', 'examination']",failing examination
disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.","['drunkard', 'fell', 'started', 'bleeding', 'wet', 'disgust', 'turned', 'sadnessunpleasantness']",drunkard fell started bleeding wet disgust turned sadnessunpleasantness
shame,"When, as an adult I have been caught lying or behaving badly.","['adult', 'caught', 'lying', 'behaving', 'badly']",adult caught lying behaving badly
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am.","['environment', 'person', 'much', 'worse', 'realize', 'privileged']",environment person much worse realize privileged
happiness,When I saw a person I had not seen for a long time.,"['saw', 'person', 'seen', 'long', 'time']",saw person seen long time
fear,"When, as a child, I was nearly knocked down by a car.","['child', 'nearly', 'knocked', 'car']",child nearly knocked car
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.","['heard', 'radio', 'football', 'match', 'belgium', 'ended', 'catastrophe', 'several', 'people', 'died', 'could', 'understand', 'normal', 'people', 'could', 'behave', 'way']",heard radio football match belgium ended catastrophe several people died could understand normal people could behave way
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else.","['feel', 'lonely', 'perhaps', 'study', 'lot', 'shut', 'appartment', 'nothing', 'happens', 'particular', 'time', 'anything', 'else']",feel lonely perhaps study lot shut appartment nothing happens particular time anything else
disgust,When one learns through the mass media all the wars and killing going on in the world.,"['one', 'learns', 'mass', 'medium', 'war', 'killing', 'going', 'world']",one learns mass medium war killing going world
shame,"I lied, to be precise I cancelled a meeting with a good friend.","['lied', 'precise', 'cancelled', 'meeting', 'good', 'friend']",lied precise cancelled meeting good friend
guilt,When one lets friends down,"['one', 'let', 'friend']",one let friend
happiness,When I was accepted for a course on finance and accounting.,"['accepted', 'course', 'finance', 'accounting']",accepted course finance accounting
fear,"A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.","['bus', 'drove', 'right', 'leg', 'event', 'frightening', 'wait', 'emergency', 'ward', 'three', 'hour', 'leg', 'began', 'swell', 'frightened']",bus drove right leg event frightening wait emergency ward three hour leg began swell frightened
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own.","['summer', 'job', 'nobody', 'looked', 'particular', 'learn']",summer job nobody looked particular learn
sadness,When I was not accepted as a student in finance and accounting.,"['accepted', 'student', 'finance', 'accounting']",accepted student finance accounting
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.,"['moved', 'new', 'appartment', 'found', 'ventilator', 'kitchen', 'going', 'clean', 'found', 'drum', 'full', 'mud', 'slime', 'felt', 'disgusted']",moved new appartment found ventilator kitchen going clean found drum full mud slime felt disgusted
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.,"['elder', 'brother', 'always', 'good', 'relationship', 'feel', 'ashamed', 'call', 'talk', 'nowadays']",elder brother always good relationship feel ashamed call talk nowadays
guilt,At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.,"['summer', 'job', 'new', 'caretaker', 'employed', 'age', 'preferred', 'going', 'lunch', 'account', 'personnel', 'rather']",summer job new caretaker employed age preferred going lunch account personnel rather
happiness,Passed an exam by 2 points.,"['passed', 'exam', 'point']",passed exam point
fear,"In a cottage in a large forest, I was alone for a while in the dark.","['cottage', 'large', 'forest', 'alone', 'dark']",cottage large forest alone dark
anger,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,"['spoke', 'janerik', 'wikstr÷m', 'telephone']",spoke janerik wikstr÷m telephone
sadness,Railway station good-bye.,"['railway', 'station', 'goodbye']",railway station goodbye
disgust,I saw a cripple in rags with small children in Italy.  He was probably an imposter.,"['saw', 'cripple', 'rag', 'small', 'child', 'italy', 'probably', 'imposter']",saw cripple rag small child italy probably imposter
